id,name,street-address,locality,region,postal-code,phone-number
50,Gourmet Girls Gluten Free,5845 N Oracle Rd,Tucson,AZ,85704,(520) 408-9000
51,Le Cave's Bakery Inc,1219 S 6th Ave,Tucson,AZ,85713,(520) 624-2561
52,Marco's Patisserie Bakery,3308 E Grant Rd,Tucson,AZ,85716,(520) 292-8567
53,Holsum Bakery Outlet,2801 S 4th Ave,Tucson,AZ,85713,(520) 622-8007
54,Small Planet Bakery,411 N 7th Ave Ste 101,Tucson,AZ,85705,(520) 884-9313
55,Bruegger's,5665 N Swan Rd,Tucson,AZ,85718,(520) 529-7424
56,Mimi's Fine Bakery & Cafe,8517 E Ramona Madera Ln,Tucson,AZ,85747,(520) 979-2965
57,Wholesale Bagels Inc,920 S Warren Ave,Tucson,AZ,85719,(520) 327-3711
58,Oroweat Baking Co,3770 S Park Ave Ste C,Tucson,AZ,85713,(520) 624-1099
59,Queen Donuts,1108 W Saint Marys Rd,Tucson,AZ,85745,(520) 884-1123
60,Small Planet Bakery,411 N 7th Ave Ste 101,Tucson,AZ,85705,(520) 884-9313
61,Dunkin' Donuts,904 E University Blvd,Tucson,AZ,85719,(520) 882-7711
62,Bruegger's,5665 N Swan Rd,Tucson,AZ,85718,(520) 529-7424
63,Mimi's Fine Bakery & Cafe,8517 E Ramona Madera Ln,Tucson,AZ,85747,(520) 979-2965
64,Bruegger's,1064 N Campbell Ave,Tucson,AZ,85719,(520) 325-4567
65,Bruegger's,1 W Congress St,Tucson,AZ,85701,(520) 206-0002
66,Bruegger's,6165 E Broadway Blvd,Tucson,AZ,85711,(520) 745-0800
67,Bruegger's,7127 E Tanque Verde Rd,Tucson,AZ,85715,(520) 885-0123
68,Bruegger's,88 W River Rd,Tucson,AZ,85704,(520) 292-2111
69,Bruegger's,7320 North La Cholla Boulevardsuite #124 Suite 124,Tucson,AZ,85741,(520) 531-9615
70,Albertsons,5085 N La Canada Dr,Tucson,AZ,85704,(520) 696-0325
71,Albertsons,6600 E Grant Rd,Tucson,AZ,85715,(520) 885-6109
72,Bruegger's,3843 E Broadway Blvd,Tucson,AZ,85716,(520) 323-0033
73,Albertsons,2854 N Campbell Ave,Tucson,AZ,85719,(520) 321-1212
74,Albertsons,6363 E 22nd St,Tucson,AZ,85710,(520) 571-9091
75,Wholesale Bagels Inc,920 S Warren Ave,Tucson,AZ,85719,(520) 327-3711
76,Oroweat Baking Co,3770 S Park Ave Ste C,Tucson,AZ,85713,(520) 624-1099
77,Dunkin' Donuts,5346 E 22nd St,Tucson,AZ,85711,(520) 790-5892
78,Albertsons,1350 N Silverbell Rd,Tucson,AZ,85745,(520) 623-7449
79,Queen Donuts,1108 W Saint Marys Rd,Tucson,AZ,85745,(520) 884-1123
80,Sun Rise Baking Co,3650 N 1st Ave,Tucson,AZ,85719,(520) 293-0878
81,Cinnabon,4500 N Oracle Rd Ste 126,Tucson,AZ,85705,(520) 292-6400
82,Bruegger's,8140 S Houghton Rd,Tucson,AZ,85747,(520) 664-1600
83,Dunkin' Donuts,1655 W Valencia Rd Suite 101,Tucson,AZ,85746,(520) 741-1926
84,B B Sweets,3026 N Campbell Ave,Tucson,AZ,85719,(520) 322-9965
85,Lena's Custom Desserts,1517 N Wilmot Rd,Tucson,AZ,85712,(520) 954-3216
86,Oroweat,7535 E Broadway Blvd,Tucson,AZ,85710,(520) 751-1207
87,From The Heart Corp,150 S Camino Seco # 114,Tucson,AZ,85710,(520) 721-1444
88,Grammy Gram Arrangements,10117 E Buttonbush Ct,Tucson,AZ,85748,(520) 971-2160
89,Oroweat Baking Co Outlet,3840 W Ina Rd Ste 100,Tucson,AZ,85741,(520) 579-0482
90,Cinnabon,5870 E Broadway Blvd # 360,Tucson,AZ,85711,(520) 790-7666
91,Bruegger's,11165 N La Canada Dr Suite 161,Tucson,AZ,85737,(520) 575-0651
92,Dona Esperanza,2432 S 4th Ave,Tucson,AZ,85713,(520) 882-2846
93,Sons Bakery Cafe,5683 E Speedway Blvd,Tucson,AZ,85712,(520) 885-0806
94,Baker & Baker,9041 E Seneca St,Tucson,AZ,85715,(520) 722-2758
95,Beyond Bread,421 W Ina Rd,Tucson,AZ,85704,(520) 461-1111
96,Liza's Cutie Cupcakes,2112 W Grant Rd,Tucson,AZ,85745,(520) 305-1321
97,La Estrella Bakery Inc,100 S Avenida De La Vis,Tucson,AZ,85710,(520) 344-8463
98,Cinnabon,3270 E Valencia Rd,Tucson,AZ,85706,(520) 741-2333
99,El Triunfo Bakery,6350 S Nogales Hwy,Tucson,AZ,85706,(520) 573-1884
100,Walmart - Bakery,7635 N La Cholla Blvd,Tucson,AZ,85741,(520) 297-4470
101,Mona's Danish Bakery,4777 E Sunrise Dr Ste 113,Tucson,AZ,85718,(520) 579-1959
102,Knead Dough,3957 E Speedway Blvd,Tucson,AZ,85712,(520) 881-5577
103,Conchita's Cakes,819 W Jacinto St,Tucson,AZ,85705,(520) 622-1096
104,Baker Center,2251 N Indian Ruins Rd Ste E,Tucson,AZ,85715,(520) 886-2898
105,Oroweat Baking Co Thrift Store,1110 W Prince Rd,Tucson,AZ,85705,(520) 888-6182
106,Marlbelle Cakery & Patisserie,NA,Tucson,AZ,85728,(520) 282-4936
107,Beyond Bread,3026 N Campbell Ave,Tucson,AZ,85719,(520) 322-9965
108,Selah's Baked Blessings,3622 E 32nd St,Tucson,AZ,85713,(520) 437-2811
109,Bimbo Bakery,3770 S Park Ave # C,Tucson,AZ,85713,(520) 628-4366
110,Lena's Custom Dessert,2418 N Craycroft Rd,Tucson,AZ,85712,(520) 750-7280
111,El Rio Bakery,901 N Grande Ave,Tucson,AZ,85745,(520) 624-4996
112,Blissful Sweet Cakes,2110 E Hancock Vis,Tucson,AZ,85713,(520) 861-4577
113,Tucson Cakes,NA,NA,NA,NA,(520) 247-5440
114,Shari's Berries,NA,NA,NA,NA,(888) 826-2603
